featureType,latitude,longitude
fastFood,37.7760504,-122.3939630
fastFood,37.7801650,-122.3946256
fastFood,37.7263814,-122.4762258
fastFood,37.7955496,-122.3931929
fastFood,37.7872518,-122.4100500
fastFood,37.7831831,-122.4210960
fastFood,37.7839182,-122.4194876
fastFood,37.8077668,-122.4184666
fastFood,37.7288885,-122.4307199
fastFood,37.7828529,-122.4448572
fastFood,37.7234803,-122.4554730
fastFood,37.7720644,-122.4316640
fastFood,37.7718907,-122.4305330
fastFood,37.7718999,-122.4313245
fastFood,37.7719058,-122.4312812
fastFood,37.7719157,-122.4311673
fastFood,37.7232243,-122.4538840
fastFood,37.7862682,-122.4176924
fastFood,37.7861368,-122.4187653
fastFood,37.7774802,-122.4071839
fastFood,37.7853321,-122.4083629
fastFood,37.7850921,-122.4079256
fastFood,37.7523340,-122.4186296
fastFood,37.7648278,-122.4222609
fastFood,37.7944451,-122.3967654
fastFood,37.7781961,-122.4157435
fastFood,37.7333904,-122.4343103
fastFood,37.7687849,-122.4292661
fastFood,37.7223097,-122.3959425
fastFood,37.7318084,-122.3913825
fastFood,37.7233625,-122.4547858
fastFood,37.7867758,-122.4009386
fastFood,37.7803301,-122.4076377
fastFood,37.7131382,-122.4445763
fastFood,37.7172989,-122.4400805
fastFood,37.7268295,-122.4031215
fastFood,37.7308314,-122.4050974
fastFood,37.7286624,-122.4042360
fastFood,37.7289785,-122.4039770
fastFood,37.7408532,-122.3888248
fastFood,37.7410629,-122.3887499
fastFood,37.7415600,-122.3885365
fastFood,37.7322794,-122.3919588
fastFood,37.7876872,-122.4009468
fastFood,37.7639521,-122.4338053
fastFood,37.7870460,-122.3988140
fastFood,37.7903659,-122.3994026
fastFood,37.7914771,-122.3993698
fastFood,37.7914529,-122.3997805
fastFood,37.7967253,-122.4003352
fastFood,37.7653016,-122.4665892
fastFood,37.7885642,-122.4027028
fastFood,37.7785410,-122.4153220
fastFood,37.7812348,-122.4641684
fastFood,37.7747769,-122.5100026
fastFood,37.7337908,-122.4893753
fastFood,37.7325339,-122.4898996
fastFood,37.7325296,-122.4899746
fastFood,37.7337950,-122.4892973
fastFood,37.7807874,-122.4756807
fastFood,37.7554829,-122.4196451
fastFood,37.7618396,-122.4173776
fastFood,37.7166057,-122.4413580
fastFood,37.7208003,-122.4375104
fastFood,37.7184272,-122.4397567
fastFood,37.7768183,-122.3948860
fastFood,37.7785737,-122.3921766
fastFood,37.7795923,-122.3915835
fastFood,37.7786615,-122.3927737
fastFood,37.7787077,-122.3932034
fastFood,37.7607716,-122.4351823
fastFood,37.7690726,-122.3903171
fastFood,37.7748604,-122.4379581
fastFood,37.8005595,-122.4373837
fastFood,37.8078080,-122.4178430
fastFood,37.7889505,-122.4014996
fastFood,37.7455949,-122.4202183
fastFood,37.7852070,-122.4166578
fastFood,37.7897034,-122.4040073
fastFood,37.7233172,-122.4822210
fastFood,37.7718826,-122.4303038
fastFood,37.7719259,-122.4303170
fastFood,37.7692918,-122.4277262
fastFood,37.7662819,-122.4019760
fastFood,37.7759755,-122.4196734
fastFood,37.7697951,-122.4495174
fastFood,37.7939006,-122.3990657
fastFood,37.7639211,-122.4661799
fastFood,37.8083269,-122.4140067
fastFood,37.7909421,-122.4192204
fastFood,37.7876482,-122.4339429
fastFood,37.8003743,-122.4376967
fastFood,37.8002850,-122.4397006
fastFood,37.8082440,-122.4145370
fastFood,37.7842915,-122.4087225
fastFood,37.7842358,-122.4036734
fastFood,37.7848683,-122.4035456
fastFood,37.7869373,-122.4040148
fastFood,37.7870859,-122.4038287
fastFood,37.7404310,-122.4665130
fastFood,37.7401543,-122.4667867
fastFood,37.7880065,-122.4200461
fastFood,37.7408775,-122.4655297
fastFood,37.7408061,-122.4654015
fastFood,37.7872668,-122.3986501
fastFood,37.7657898,-122.4665914
fastFood,37.7640524,-122.4694092
fastFood,37.7429359,-122.4812611
fastFood,37.7425918,-122.4833491
fastFood,37.7672262,-122.4529946
fastFood,37.7695204,-122.4517666
fastFood,37.8006099,-122.4088891
fastFood,37.8074752,-122.4172288
fastFood,37.8068444,-122.4182366
